**Feature**,                  Text file based, Raw sockets, YARP,           ROS,             Pocolibs,															Moos,
Communications , 
``IN/OUT Data streams``,      ✔,               ✔,           ✔ (ports),      ✔ (topics),      ✔ (posters),														✔ (database)
``RPC (requests)``,			  ✘,               ✔,           ✔,              ✔ (only services), ✔ (requests),													✘
Sensors,
``Accelerometer``,            ✔,               ✔,           ✔,              ✔ ``Twist``,     ✘,																	✔ 
``Battery``,				  ✔,			   ✔,			✔,				✔ ``Float32``,	✘,																	✔
``GPS``,                      ✔,               ✔,           ✔,              ✔ ``PoseStamped``,✔ ``POM_ME_POS``,								✔
``Gyroscope``,                ✔,               ✔,           ✔,              ✘,               ✔ ``POM_ME_POS``,												✔
``Human posture``,            ✔,               ✔,           ✔,              ✘,               ✔ ``SPARK_CONFIGURATION``,											✘
``IMU``,		              ✔,               ✔,           ✔,              ✔ ``Odometry`` (or ``Twist``),     ✘,																	✔
``Odometry``,                 ✔,               ✔,           ✔,              ✘  (see IMU),    ✘ ,																	✔
``Pose``,					  ✔,               ✔,           ✔,              ✔ ``Odometry, PoseStamped``,     ✘,																	✔ 	
``Proximity sensor``,         ✔,               ✔,           ✔,              ✘,              ✘,																	✔
``ptu_posture``,	          ✔,               ✔,           ✔,              ✘,			     ✔ ``PLATINE_STATES``,												✔
``Rosace (victim sensor)``,	  ✔,               ✔,           ✔,              ✘,			     ✘,																	✘
``Semantic camera``,          ✔,               ✔,           ✔,              ✔ ``String, TF``  ,  ✔ ``VimanObjectPublicArray``,										✘	
``Sick (Laser range finder)``,✔,               ✔,          "✔ ``List (x, y, z)``","✔ ``LaserScan``, ``PointCloud``",   ✘,							✔
``Thermometer``,              ✔,               ✔,           ✔,              ✘,               ✘,																	✔
``Velodyne``,				  ✔,               ✘,           ✘,              ✘,				 ✔ ``Velodyne3DImage``,												✘
``Video camera``,             ✘,               ✘,           ✔ ``YarpImage``, "✔ ``Image`` + ``CameraInfo``",     ✔ ``viamImageBank``,												✘	
Actuators,
``armature actuator``,		  ✘,               ✔,           ✔,              ✔,               ✘,																	?
``Straight line movement``,   ✘,               ✔,           ✔,              ✘,               ✘,																	✔
``gripper``,				  ✘,               ✔,           ✔,              ✔ ``Bool``,		 ✘,																	?
``KUKA LWR arm``,             ✘,               ✔,           ✔,              ✔ ``JointState``,✔ ``Gb_q7``,												✘
``light``,					  ✘,               ✔,           ✔,              ✔ ``Bool``		,✘,																	?
``orientation``,			  ✘,               ✔,           ✔,              ✘,				 ✘,																	?
``Mitsubishi PA-10 arm``,     ✘,               ✔,           ✔,              ✘,               ✘,																	✘
``Pan-Tilt unit``,            ✘,               ✔,           ✔,              ✔ ``JointState``,               ✔ ``POM_SE_POSTER`` or ``PLATINE_AXIS_STR`` ,		✘	
``steer_force``,			  ✘,               ✔,           ✔,              ✘,				 ✘,																	?
"``(v, w) motion control``",     ✘,               ✔,           ✔,              "✔ ``Twist`` - supports as well (Vx,Vy,ω)",    "✔ ``GENPOS_CART_SPEED``",		✔     
``waypoint motion``,          ✘,               ✔,           ✔,              ✔ (set of ``Pose2D``),    ✘,														✘
